CHEBI:13193	CHEBI_EXT:13193
CHEBI:14336	CHEBI_EXT:glycerol_1_phosphate
CHEBI:15022	CHEBI_EXT:15022
CHEBI:15033	CHEBI_PR_EXT:thioredoxin
CHEBI:15339
CHEBI:15356	CHEBI_SO_EXT:cysteine
CHEBI:15422	CHEBI_EXT:ATP
CHEBI:15428	CHEBI_SO_EXT:glycine
CHEBI:15713	CHEBI_EXT:UTP
CHEBI:15841	CHEBI_SO_EXT:polypeptide
CHEBI:15996	CHEBI_EXT:GTP
CHEBI:16040	CHEBI_EXT:cytosine_nucleobase_or_nucleoside_or_nucleotide_molecular_entity_or_group
CHEBI:16235	CHEBI_EXT:guanine_nucleobase_or_nucleoside_or_nucleotide_molecular_entity_or_group
CHEBI:16284	CHEBI_EXT:dATP
CHEBI:16311	CHEBI_EXT:dCTP
CHEBI:16335	CHEBI_EXT:adenine_nucleobase_or_nucleoside_or_nucleotide_molecular_entity_or_group
CHEBI:16449	CHEBI_SO_EXT:alanine
CHEBI:16474	CHEBI_EXT:NADPH
CHEBI:16497	CHEBI_EXT:dGTP
CHEBI:16595	CHEBI_EXT:1D_myo_inositol_1_4_5_trisphosphate
CHEBI:16670	CHEBI_SO_EXT:peptide_or_peptide_region
CHEBI:16704	CHEBI_EXT:uracil_nucleobase_or_nucleoside_or_nucleotide_molecular_entity_or_group
CHEBI:16708	CHEBI_EXT:adenine_nucleobase_or_nucleoside_or_nucleotide_molecular_entity_or_group
CHEBI:16750	CHEBI_EXT:guanine_nucleobase_or_nucleoside_or_nucleotide_molecular_entity_or_group
CHEBI:16761	CHEBI_EXT:ADP
CHEBI:16811	CHEBI_SO_EXT:methionine
CHEBI:16855	CHEBI_EXT:D_lysine
CHEBI:16898	CHEBI_EXT:pyrimidine
CHEBI:16908	CHEBI_EXT:NADH
CHEBI:16991	CHEBI_SO_EXT:DNA
CHEBI:17239	CHEBI_EXT:CDP
CHEBI:17246	CHEBI_EXT:poly_vinyl_alcohol
CHEBI:17499	CHEBI_EXT:17499
CHEBI:17552	CHEBI_EXT:GDP
CHEBI:17562	CHEBI_EXT:cytosine_nucleobase_or_nucleoside_or_nucleotide_molecular_entity_or_group
CHEBI:17568	CHEBI_EXT:uracil_nucleobase_or_nucleoside_or_nucleotide_molecular_entity_or_group
CHEBI:17596	CHEBI_SO_EXT:inosine
CHEBI:17625	CHEBI_EXT:dUTP
CHEBI:17654	CHEBI_EXT:17654
CHEBI:17659	CHEBI_EXT:UDP
CHEBI:17677	CHEBI_EXT:CTP
CHEBI:17748	CHEBI_EXT:thymine_nucleobase_or_nucleoside_or_nucleotide_molecular_entity_or_group
CHEBI:17821	CHEBI_EXT:thymine_nucleobase_or_nucleoside_or_nucleotide_molecular_entity_or_group
CHEBI:17822	CHEBI_SO_EXT:serine
CHEBI:17843	CHEBI_SO_EXT:tRNA
CHEBI:17891
CHEBI:18050	CHEBI_EXT:L_glutamine
CHEBI:18077	CHEBI_EXT:dTTP
CHEBI:18111	CHEBI_SO_EXT:rRNA
CHEBI:18186	CHEBI_SO_EXT:tyrosine
CHEBI:18237	CHEBI_SO_EXT:glutamic_acid
CHEBI:18248	CHEBI_EXT:iron
CHEBI:18257	CHEBI_EXT:ornithine
CHEBI:18282	CHEBI_SO_EXT:base
CHEBI:18291	CHEBI_EXT:manganese
CHEBI:20569	CHEBI_EXT:20569
CHEBI:20854	CHEBI_EXT:20854
CHEBI:21241	CHEBI_EXT:21241
CHEBI:22153	CHEBI_EXT:22153
CHEBI:22180	CHEBI_EXT:22180
CHEBI:22309	CHEBI_EXT:22309
CHEBI:22311	CHEBI_EXT:22311
CHEBI:22333	CHEBI_EXT:22333
CHEBI:22359	CHEBI_EXT:alloisoleucine
CHEBI:22368	CHEBI_EXT:22368
CHEBI:22476	CHEBI_EXT:22476
CHEBI:22581	CHEBI_EXT:22581
CHEBI:22583	CHEBI_EXT:22583
CHEBI:22586	CHEBI_GO_EXT:antioxidant
CHEBI:22587	CHEBI_EXT:22587
CHEBI:22653	CHEBI_SO_EXT:asparagine
CHEBI:22660	CHEBI_SO_EXT:aspartic_acid
CHEBI:22676	CHEBI_EXT:22676
CHEBI:22695	CHEBI_EXT:22695
CHEBI:22917	CHEBI_EXT:22917
CHEBI:22977	CHEBI_EXT:cadmium
CHEBI:22984	CHEBI_EXT:calcium
CHEBI:22986	CHEBI_EXT:22986
CHEBI:23018	CHEBI_EXT:23018
CHEBI:23092	CHEBI_EXT:23092
CHEBI:23100	CHEBI_EXT:23100
CHEBI:23116	CHEBI_EXT:chlorine
CHEBI:23240	CHEBI_EXT:23240
CHEBI:23354	CHEBI_EXT:23354
CHEBI:23357	CHEBI_EXT:23357
CHEBI:23366	CHEBI_EXT:23366
CHEBI:23529	CHEBI_EXT:23529
CHEBI:23530	CHEBI_EXT:23530
CHEBI:23582	CHEBI_EXT:23582
CHEBI:23888	CHEBI_EXT:23888
CHEBI:23891	CHEBI_EXT:23891
CHEBI:23924	CHEBI_GO_EXT:enzyme_inhibitor
CHEBI:24002	CHEBI_EXT:24002
CHEBI:24020	CHEBI_EXT:24020
CHEBI:24028	CHEBI_EXT:24028
CHEBI:24127	CHEBI_EXT:24127
CHEBI:24319	CHEBI_EXT:24319
CHEBI:24430	CHEBI_EXT:24430
CHEBI:24432	CHEBI_EXT:24432
CHEBI:24527	CHEBI_EXT:24527
CHEBI:24621	CHEBI_GO_EXT:hormone
CHEBI:24850	CHEBI_EXT:24850
CHEBI:24851	CHEBI_EXT:24851
CHEBI:24852	CHEBI_EXT:24852
CHEBI:24853	CHEBI_EXT:24853
CHEBI:24869	CHEBI_EXT:24869
